Id,SalePrice
1461,122436.62118572925
1462,164696.3429227633
1463,185042.4847035354
1464,193012.99988305065
1465,191992.43761548318
1466,173154.4924399914
1467,182318.967446165
1468,168910.83815866656
1469,184923.80564311345
1470,126640.7121945917
1471,208144.46731587735
1472,92396.19382446464
1473,96562.83602506988
1474,150288.75592038984
1475,125279.24549178095
1476,376338.36945021036
1477,239608.0985073208
1478,277703.03681290476
1479,266529.05314135156
1480,486805.877052618
1481,328881.63519886817
1482,205427.37652947532
1483,169265.02360310973
1484,164910.25974712745
1485,181368.2802139096
1486,195468.00356122194
1487,323160.527259258
1488,228689.94653030913
1489,198597.0598202554
1490,221596.47692410543
1491,191110.3325638245
1492,85598.5400633485
1493,190419.03030082546
1494,302135.55019987095
1495,285448.15247775964
1496,235204.16499050512
1497,184374.628160708
1498,164926.04530068615
1499,158142.7263187395
1500,155571.64895075728
1501,171613.29566921637
1502,156591.3057940506
1503,289497.7342436146
1504,241259.69284846453
1505,231424.59963774073
1506,175966.50387946432
1507,233503.03563765847
1508,193740.37506646066
1509,157779.30042014536
1510,149336.9721825326
1511,147550.5853785985
1512,168950.7462183595
1513,143524.72129046946
1514,169295.23256678495
1515,181419.3497122312
1516,159353.77659675645
1517,163124.55354646995
1518,133931.66403838719
1519,226361.4664991406
1520,132672.32115474343
1521,133917.3901185524
1522,164102.3410861483
1523,114168.18086184532
1524,124252.33049145878
1525,127210.54728054519
1526,117807.37817141817
1527,100881.10309705793
1528,136097.76551693867
1529,148824.63367257657
1530,174182.5572819939
1531,101863.57416124846
1532,104513.69788157337
1533,148408.04643562654
1534,117708.10175060015
1535,159701.87240891092
1536,113269.0823401898
1537,63665.55617510778
1538,151295.02161626416
1539,188199.3783260707
1540,93233.57232030538
1541,130057.1864528805
1542,141345.35558219993
1543,208945.25209340212
1544,74659.90755211297
1545,111570.35328408655
1546,129125.20744229721
1547,129843.06592120523
1548,125688.15813748658
1549,112723.25467605883
1550,132878.4282316285
1551,113255.88109745493
1552,135006.88541200414
1553,142737.7887790019
1554,113765.30564953803
1555,160325.3537307521
1556,82665.5847934858
1557,111854.35005542844
1558,98483.19062223911
1559,76035.05426406804
1560,129994.24782727633
1561,135328.0554099213
1562,130532.98106991235
1563,121327.7528869586
1564,154822.0244575875
1565,142627.36230006954
1566,224118.96079368112
1567,74272.43469779668
1568,226771.41912492763
1569,147893.8037950581
1570,139151.22757875567
1571,120350.70261002482
1572,146177.0205092689
1573,238870.4613152614
